# MJD orderslope
# subtract (m - 84) * orderslope from each order at MJD
58439.453074 -1.442384
58439.465428 -1.391616
58439.471317 -1.373372
58439.477172 -1.351854
58439.507433 -1.223173
58439.511829 -1.204514
58439.520360 -1.169180
58439.582809 -0.954929
58439.604976 -0.905065
58439.620509 -0.867102
58439.626405 -0.845689
58439.632097 -0.828275
58439.637838 -0.800511
58439.649496 -0.752605
58439.655648 -0.735412
58439.661729 -0.717885
58439.665972 -0.705017
58439.669885 -0.699614
58440.216795 -1.136447
58440.437209 -1.379460
58440.445750 -1.384111
58440.526969 -1.337858
58440.647207 -1.213839
58441.392429 -0.947597
58441.409930 -0.955247
58441.418080 -0.956245
58441.462939 -0.986107
58441.466508 -0.988611
58441.477338 -0.987952
58441.484681 -0.993297
58441.497471 -0.994687
58441.503029 -0.998073
58441.512358 -1.003805
58441.517662 -1.004700
58441.522874 -1.005047
58441.535296 -1.011900
58441.548533 -1.010328
58441.553692 -1.008641
58441.558876 -1.001854
58441.576614 -0.995408
58441.581471 -0.986088
58441.585207 -0.980387
58441.605177 -0.981568
58441.644003 -0.955659
58441.649309 -0.949234
58441.654719 -0.953908
58441.660331 -0.948038
58441.666184 -0.944117
58441.672250 -0.943005
58441.678657 -0.940755
58441.685389 -0.933081
58444.587095 -0.653015
58444.596553 -0.658226
58444.607108 -0.662609
58444.617636 -0.665561
58444.639125 -0.658320
58445.391994 -1.030389
58445.631149 -0.586760
58445.632156 -0.584679
58445.634160 -0.584279
58445.637244 -0.582654
58445.638266 -0.581683
58445.639285 -0.581444
58445.640359 -0.578261
58445.641429 -0.577331
58445.643558 -0.576907
58445.644617 -0.576866
58445.645672 -0.576315
58445.646860 -0.574701
58445.648041 -0.574031
58445.649217 -0.572470
58445.650386 -0.571923
58445.651570 -0.571202
58445.652759 -0.567672
58445.653951 -0.567618
58445.655010 -0.565988
58445.656080 -0.563049
58445.657112 -0.560007
58445.658110 -0.558774
58445.659109 -0.557107
58445.663130 -0.550851
58445.664141 -0.552116
58445.665155 -0.549408
58445.666149 -0.548719
58445.667145 -0.546091
58445.675208 -0.531235
58445.676228 -0.530083
58445.677252 -0.528386
58445.678279 -0.525731
58445.680344 -0.521073
58445.681383 -0.520663
58445.683471 -0.519083
58447.438765 -0.883321
58447.441079 -0.882442
58447.443391 -0.878146
58447.452632 -0.862166
58447.454940 -0.857066
58447.457248 -0.855283
58447.459555 -0.851581
58447.461861 -0.846924
58447.464320 -0.844409
58447.469218 -0.834642
58447.471657 -0.831420
58447.476518 -0.825373
58447.478941 -0.820984
58447.486180 -0.809945
58447.488584 -0.806877
58447.490985 -0.803021
58447.493382 -0.798553
58447.495775 -0.794411
58447.498165 -0.790198
58447.500552 -0.783882
58447.503073 -0.777948
58447.510338 -0.763401
58447.514956 -0.754779
58447.523806 -0.740365
58447.530268 -0.728892
58447.536578 -0.722252
58447.542540 -0.711014
58447.546373 -0.702719
58447.551930 -0.689098
58447.557476 -0.676784
58447.570828 -0.650545
58447.582878 -0.628041
58447.592205 -0.604852
58447.610518 -0.566239
58447.617022 -0.552372
58447.619751 -0.547564
58447.625967 -0.534743
58447.630722 -0.525419
58447.634539 -0.518113
58447.640342 -0.509042
58447.644788 -0.497474
58447.647227 -0.494872
58447.649640 -0.490274
58447.653918 -0.480839
58447.655797 -0.477386
58447.658921 -0.474247
58447.662026 -0.466243
58447.665111 -0.461408
58447.666936 -0.456367
58447.672349 -0.446414
58447.674132 -0.442130
58447.675904 -0.438654
58447.677664 -0.434840
58447.679413 -0.430156
58447.681149 -0.426823
58447.682872 -0.423709
58447.684582 -0.419558
58447.686278 -0.416240
58447.687960 -0.413131
58447.689628 -0.410302
58447.691280 -0.405789
58447.692916 -0.402250
58447.694535 -0.399253
58447.696049 -0.395051
58447.697542 -0.393412
58447.699015 -0.389468
58447.700466 -0.385687
58447.701894 -0.382634
58447.703300 -0.377808
58447.704680 -0.374803
58447.705604 -0.378854
58447.706036 -0.372233
58447.706918 -0.375664
58447.709457 -0.368484
58447.710680 -0.365785
58447.711868 -0.362841
58448.405155 -0.506530
58448.414488 -0.503326
58448.537543 -0.473479
58448.545038 -0.475929
58448.629617 -0.461129
58448.633377 -0.459534
58448.637230 -0.460494
58505.718084 -1.792436
58506.591571 -0.584557
58506.672384 -0.536395
58506.705381 -0.462776
58507.468717 -0.459717
58507.475542 -0.471789
58507.482081 -0.486111
58507.500292 -0.496337
58507.510858 -0.505805
58507.516270 -0.508388
58507.521867 -0.521506
58507.594282 -0.597325
58507.599261 -0.596489
58507.640659 -0.679810
58507.647120 -0.689312
58507.660358 -0.717238
58507.667322 -0.719080
58507.674614 -0.737390
58507.689988 -0.762302
58507.699271 -0.763834
58508.306999 -0.798744
58508.449289 -0.604470
58508.512722 -0.635339
58508.523071 -0.624927
58508.541960 -0.641471
58508.547065 -0.631151
58508.551868 -0.619399
58508.562260 -0.608750
58508.567415 -0.609857
58508.572453 -0.605510
58508.584519 -0.599578
58508.589393 -0.583332
58508.594412 -0.572159
58508.600508 -0.572358
58508.606794 -0.574936
58508.628114 -0.536418
58508.648067 -0.519137
58508.653118 -0.514972
58508.658259 -0.516990
58508.662822 -0.514865
58508.667412 -0.505547
58508.671941 -0.497619
58508.676537 -0.491938
58508.685872 -0.475256
58508.711778 -0.406044
58508.722764 -0.381691
58509.462038 -0.455089
58509.469928 -0.455017
58509.474051 -0.458528
58509.478240 -0.451788
58509.482840 -0.442235
58509.487377 -0.441760
58509.491929 -0.434023
58509.496538 -0.421174
58509.501600 -0.412978
58509.507350 -0.411646
58509.519987 -0.395053
58509.532565 -0.387528
58509.554323 -0.370454
58509.569110 -0.362443
58509.586830 -0.356821
58509.631865 -0.317622
58509.644114 -0.301951
58509.657101 -0.298762
58509.669899 -0.286396
58509.676408 -0.283793
58509.690026 -0.263747
58509.697081 -0.246087
58509.704410 -0.244056
58509.711364 -0.248325
58509.718823 -0.234467
58509.726729 -0.236536
58510.421520 -0.105944
58510.427885 -0.099341
58510.442885 -0.098002
58510.469663 -0.144316
58510.477873 -0.147161
58510.494025 -0.149217
58510.501719 -0.145100
58510.534035 -0.140582
58510.605543 -0.162142
58510.612413 -0.162761
58510.639715 -0.176408
58510.647114 -0.179119
58510.662945 -0.188294
58510.678246 -0.199862
58510.690425 -0.181525
58510.696164 -0.165450
58511.427247 -0.614221
58511.468222 -0.660151
58511.479348 -0.672121
58511.484667 -0.686948
58511.489921 -0.694963
58511.495050 -0.706906
58511.531207 -0.763838
58511.541483 -0.777192
58511.556575 -0.785117
58511.561496 -0.790285
58511.566417 -0.795095
58511.571263 -0.798906
58511.580335 -0.808624
58511.585123 -0.813803
58511.598549 -0.824447
58511.628539 -0.871033
58511.638544 -0.903363
58511.654023 -0.893153
58511.654224 -0.927128
58511.664383 -0.903214
58511.669572 -0.923218
58511.673968 -0.918441
58511.678422 -0.930667
58511.682906 -0.935731
58511.687412 -0.938107
58511.691979 -0.944335
58511.696630 -0.952039
58511.701379 -0.948983
58511.711037 -0.950379
58511.715982 -0.946970
58515.307539 -0.047197
58515.448640 -0.049822
58515.526228 -0.060246
58515.537871 -0.084367
58515.555704 -0.087641
58515.562520 -0.113215
58515.569005 -0.114805
58515.577648 -0.125066
58515.606519 -0.133449
58515.620320 -0.140539
58515.632112 -0.162132
58515.644612 -0.168062
58515.659857 -0.183460
58515.665463 -0.192564
58515.670822 -0.196757
58515.706349 -0.237689
58515.712648 -0.242723
58515.719246 -0.249322
58515.725763 -0.244426
58515.732406 -0.263587
58516.490066 0.021891
58516.493718 0.010946
58516.510925 -0.014331
58516.518875 -0.011494
58516.526569 -0.016833
58516.533786 -0.015199
58516.546239 -0.005429
58516.679771 0.029300
58516.686019 0.026775
58516.706861 0.001292
58516.714801 -0.007607
58516.723372 -0.013382
58516.732479 -0.003788
58517.644595 -0.648280
58517.649896 -0.666027
58517.655027 -0.672223
58517.660122 -0.678167
58517.669427 -0.676865
58517.685607 -0.677229
58517.689580 -0.681867
58517.697926 -0.683185
58517.707007 -0.689214
58517.711832 -0.698839
58517.716777 -0.697313
58581.509417 1.189650
58581.742713 1.594909
58582.403697 0.736526
58582.540544 0.789791
58582.585481 0.832844
58582.590573 0.870182
58582.595319 0.905704
58582.605798 0.964112
58582.610820 0.987785
58582.625159 1.121190
58582.633648 1.183652
58582.645377 1.232666
58582.649132 1.242237
58582.653097 1.250521
58582.657047 1.252019
58582.670452 1.284352
58582.674605 1.286308
58582.679407 1.312069
58582.684276 1.337173
58582.703034 1.398166
58582.707641 1.423018
58582.712301 1.443842
58582.716787 1.463529
58582.721328 1.480707
58582.725765 1.496901
58582.730258 1.513198
58582.734341 1.526643
58582.738310 1.541268
58582.745772 1.579335
58582.757725 1.611039
58583.382241 0.814643
58583.415847 0.713305
58583.420553 0.700581
58583.425334 0.688277
58583.430178 0.677735
58583.435078 0.672786
58583.440025 0.668503
58583.445014 0.670340
58583.450039 0.670523
58583.455097 0.670551
58583.466586 0.660247
58583.476742 0.661018
58583.481859 0.664509
58583.486998 0.668981
58583.497050 0.667103
58583.506859 0.677770
58583.511423 0.672255
58583.526723 0.673844
58583.531727 0.669261
58583.542925 0.677731
58583.553956 0.686293
58583.565116 0.688806
58583.576087 0.703953
58583.592361 0.718366
58583.598417 0.720256
58583.620769 0.723149
58583.626489 0.732470
58583.632233 0.755438
58583.638004 0.768342
58583.658425 0.778331
58583.664396 0.792488
58583.676493 0.814579
58583.682638 0.819947
58583.688859 0.828005
58583.695172 0.837225
58583.701592 0.845595
58583.708143 0.856383
58583.714851 0.870531
58583.737338 0.972728
58584.406744 0.307267
58584.430099 0.264446
58584.434678 0.267853
58584.446152 0.200801
58584.450818 0.207249
58584.455396 0.212477
58584.459899 0.219186
58584.464478 0.220626
58584.473284 0.232143
58584.477611 0.236688
58584.482099 0.235820
58584.490571 0.232650
58584.496132 0.224116
58584.506240 0.221437
58584.511005 0.224305
58584.520382 0.228391
58584.529766 0.226330
58584.544611 0.261510
58584.549511 0.261881
58584.559562 0.269979
58584.564332 0.271519
58584.580124 0.304272
58584.590026 0.321483
58584.594654 0.329909
58584.600171 0.331738
58584.653928 0.365986
