# m MJD offset
# Subtract offset as function of MJD in each order m. Missing m means no calibration available
67 58447.758102 -14.216462
67 58448.361889 -23.571208
67 58448.411087 -14.494985
67 58448.421097 -16.605982
67 58448.436487 -19.921529
67 58448.621631 -21.165792
67 58448.631497 -20.063706
67 58448.643941 -18.881662
67 58448.651668 -18.053788
67 58505.541943 3.885575
67 58505.718084 5.855485
67 58506.521600 -1.166745
67 58506.611656 -11.720017
67 58506.653242 2.878174
67 58506.730158 1.486115
67 58506.736509 1.915397
67 58506.737970 1.967649
67 58506.741455 2.119200
67 58506.744299 2.280556
67 58507.443071 1.384434
67 58507.461334 0.881302
67 58507.471058 0.745981
67 58507.474554 0.864157
67 58507.479817 0.667796
67 58507.504383 -0.145622
67 58507.512928 -0.812253
67 58507.634427 -0.476719
67 58507.671044 -1.562954
67 58507.728941 -0.648289
67 58507.734673 -0.151508
67 58507.738921 0.248953
67 58507.775439 -1.340561
67 58508.269249 -2.419017
67 58508.402188 -3.047965
67 58508.440364 -4.679438
67 58508.496524 0.015165
67 58508.549662 0.416983
67 58508.586856 1.008551
67 58508.592917 0.979443
67 58508.597785 1.161425
67 58508.657954 0.959917
67 58508.666652 0.754734
67 58508.684803 0.586989
67 58508.695395 0.276810
67 58508.778643 -0.569956
67 58509.431360 0.925957
67 58509.438804 0.515652
67 58509.441514 0.471469
67 58509.454186 0.237075
67 58509.458461 0.247175
67 58509.462308 0.118165
67 58509.466034 0.181935
67 58509.473077 0.682724
67 58509.487059 0.898807
67 58509.613046 -3.669361
67 58509.658526 -2.633599
67 58509.699203 -0.402325
67 58509.711749 0.199475
67 58509.718404 0.213150
67 58509.770375 -0.141629
67 58510.347820 -1.440614
67 58510.473614 1.087532
67 58510.480809 0.843524
67 58510.489685 0.535184
67 58510.532969 -0.279875
67 58510.587300 2.752421
67 58510.646139 -1.811574
67 58510.653237 -1.595735
67 58510.675882 -1.082223
67 58510.689977 -0.912081
67 58510.694759 -0.629291
67 58510.704892 -0.445089
67 58510.709805 -0.331176
67 58510.715738 -0.188172
67 58510.756683 1.262976
67 58511.330217 -2.604505
67 58511.459911 -2.341846
67 58511.574972 0.798961
67 58511.618732 0.831955
67 58511.630910 0.860483
67 58511.637914 0.932080
67 58511.718965 -2.811307
67 58515.269299 -9.512722
67 58515.413431 -11.245772
67 58515.458176 -10.302858
67 58515.551315 -10.772758
67 58515.559826 -11.000933
67 58515.567714 -11.364934
67 58515.607539 -9.101922
67 58515.621790 -9.488426
67 58515.633015 -10.124757
67 58515.638336 -10.265116
67 58515.682373 -12.504620
67 58515.761192 -9.395138
67 58515.765632 -9.442216
67 58515.770040 -9.738662
67 58516.419233 -5.294092
67 58516.426266 -6.281290
67 58516.436335 -7.318432
67 58516.488861 -8.748773
